sample	pop	spp	region	contgroup	country
Debug017_aegypti_LopeVillage_Gabon_M_13	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_M_14	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_F_11	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_F_12	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_F_1	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_F_2	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_F_3	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_F_4	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_F_5	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_F_6	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_F_8	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_F_9	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_M_10	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_M_13	Franceville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Franceville_Gabon_M_7	Franceville	AAF	West Africa	Wafrica	Gabon
Debug023_aegypti_Kumasi_Ghana_F_11	Kumasi	AAF	West Africa	Wafrica	Ghana
Debug023_aegypti_Kumasi_Ghana_F_14	Kumasi	AAF	West Africa	Wafrica	Ghana
Debug023_aegypti_Kumasi_Ghana_F_16	Kumasi	AAF	West Africa	Wafrica	Ghana
