Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
-5.0787	2.9674	-1.71148325161146	0.0869919403741892	(Intercept)	X1_PuertoRico_1	abslat + popdens + precipitation + tempseason	TRUE
0	0	1.09437981794603	0.273788431649446	abslat	X1_PuertoRico_1	abslat + popdens + precipitation + tempseason	TRUE
0	0	-0.608917869193579	0.542578879287442	popdens	X1_PuertoRico_1	abslat + popdens + precipitation + tempseason	TRUE
0	0	0.719627602207734	0.471754312554291	precipitation	X1_PuertoRico_1	abslat + popdens + precipitation + tempseason	TRUE
0	0	-0.90253353823864	0.366773513812095	tempseason	X1_PuertoRico_1	abslat + popdens + precipitation + tempseason	TRUE
-10	0	-1.93742393916531	0.0526935426734767	(Intercept)	X1_PuertoRico_1	abslat + precipitation + tempseason	TRUE
0	0	1.16075575729615	0.24574123984605	abslat	X1_PuertoRico_1	abslat + precipitation + tempseason	TRUE
0	0	0.801024553426514	0.423117431531734	precipitation	X1_PuertoRico_1	abslat + precipitation + tempseason	TRUE
0	0	-0.878518874233597	0.379662199601644	tempseason	X1_PuertoRico_1	abslat + precipitation + tempseason	TRUE
0	0	-2.55384881319274	0.0106539505777386	(Intercept)	X1_PuertoRico_1	abslat + tempseason	TRUE
0	0	1.24968294805171	0.211415388781855	abslat	X1_PuertoRico_1	abslat + tempseason	TRUE
0	0	-1.08300942179188	0.27880424106263	tempseason	X1_PuertoRico_1	abslat + tempseason	TRUE
-4	1.2	-3.24154964475487	0.00118881725923422	(Intercept)	X1_PuertoRico_1	abslat	TRUE
0.028	0.064	0.431036811458045	0.666441604567556	abslat	X1_PuertoRico_1	abslat	TRUE
-5.4271	6.3358	-0.856581125363859	0.391676420603613	(Intercept)	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.87919696149654	0.379294491651569	abslat	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.105324321277692	0.91611846471698	popdens	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.570112555010876	0.568601360260092	maxtemp	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.243979015801312	0.807247071868478	mintemp	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.0931552203178804	0.925780248642832	precipitation	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.843290533386935	0.399065975937918	precseason	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.667698440403142	0.504326105747986	tempseason	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-5.133	5.436	-0.944128926168196	0.345103769278283	(Intercept)	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precseason + tempseason	TRUE
0	0	0.890896358239359	0.372984774207555	abslat	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precseason + tempseason	TRUE
0	0	0.11260119765568	0.910346735498418	popdens	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precseason + tempseason	TRUE
