Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
0	0	-0.891327569924712	0.372753462196043	precseason	X1_PuertoRico_3	maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.291825439685837	0.770420093398604	tempseason	X1_PuertoRico_3	maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-3.5588	4.7735	-0.745540548305738	0.455945007979477	(Intercept)	X1_PuertoRico_3	maxtemp + mintemp + precseason + tempseason	TRUE
0	0	0.460591252393922	0.645091888744626	maxtemp	X1_PuertoRico_3	maxtemp + mintemp + precseason + tempseason	TRUE
0	0	-0.28421168730982	0.776248159446452	mintemp	X1_PuertoRico_3	maxtemp + mintemp + precseason + tempseason	TRUE
0	0	-0.976354647883185	0.328888747643703	precseason	X1_PuertoRico_3	maxtemp + mintemp + precseason + tempseason	TRUE
0	0	-0.310939439695416	0.755846661015087	tempseason	X1_PuertoRico_3	maxtemp + mintemp + precseason + tempseason	TRUE
-3.4386	4.7926	-0.717483894703351	0.473075570380642	(Intercept)	X1_PuertoRico_3	maxtemp + precseason + tempseason	TRUE
0	0	0.371653424945127	0.710150906350987	maxtemp	X1_PuertoRico_3	maxtemp + precseason + tempseason	TRUE
0	0	-0.947296696041475	0.343487613952451	precseason	X1_PuertoRico_3	maxtemp + precseason + tempseason	TRUE
0	0	-0.125662096822802	0.899999406318257	tempseason	X1_PuertoRico_3	maxtemp + precseason + tempseason	TRUE
-3.1584	4.1238	-0.765898524970524	0.443736683654689	(Intercept)	X1_PuertoRico_3	maxtemp + precseason	TRUE
0	0	0.377775077769401	0.705597689199096	maxtemp	X1_PuertoRico_3	maxtemp + precseason	TRUE
0	0	-0.970953478099534	0.331571445695025	precseason	X1_PuertoRico_3	maxtemp + precseason	TRUE
-1.685	1.232	-1.36816876292815	0.171259256834244	(Intercept)	X1_PuertoRico_3	precseason	TRUE
-0.018	0.0196	-0.916318820197978	0.35949969971867	precseason	X1_PuertoRico_3	precseason	TRUE
4.15	5.26	0.788517377223188	0.430394138197189	(Intercept)	X1_Uganda_2	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.956942218013536	0.338596420575424	popdens	X1_Uganda_2	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0.0722	0.3015	0.239354334973002	0.810830836337986	maxtemp	X1_Uganda_2	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.266	0.254	-1.04766144542321	0.294794616763017	mintemp	X1_Uganda_2	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.972732854538512	0.330686091897088	precipitation	X1_Uganda_2	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.0196	0.0313	-0.626219146168236	0.531171210687938	precseason	X1_Uganda_2	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-1.25240846799623	0.210421062270754	tempseason	X1_Uganda_2	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
5.03	3.83	1.31157949143646	0.189662056512441	(Intercept)	X1_Uganda_2	popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.949280836838516	0.342477797270717	popdens	X1_Uganda_2	popdens + mintemp + precipitation + precseason + tempseason	TRUE
-0.218	0.16	-1.35655173977956	0.17492368489497	mintemp	X1_Uganda_2	popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.980879976353163	0.326651932923327	precipitation	X1_Uganda_2	popdens + mintemp + precipitation + precseason + tempseason	TRUE
-0.0156	0.0257	-0.608656427645717	0.542752193894645	precseason	X1_Uganda_2	popdens + mintemp + precipitation + precseason + tempseason	TRUE
