sample	hap	accession	pop	spp	region	contgroup	country
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-23	H433	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-23_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-24	H048	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-24_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-24	H626	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-24_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-3	H628	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-3_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-3	H564	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-3_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-4	H093	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-4_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-4	H060	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-4_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-5	H046	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-5_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-5	H534	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-5_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-6	H093	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-6_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-6	H048	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-6_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-7	H062	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-7_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-7	H531	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-7_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-8	H046	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-8_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-8	H198	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-8_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-10	H708	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-10_0	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-10	H222	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-10_1	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-2	H001	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-2_1	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-2	H001	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-2_0	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-20	H079	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-20_0	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-20	H720	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-20_1	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-22	H019	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-22_1	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-22	H057	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-22_0	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-23	H001	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-23_1	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-23	H024	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-23_0	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-5	H125	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-5_1	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-5	H044	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-5_0	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-7	H001	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-7_1	MaricopaCounty	AAA	North America	Americas	USA
Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-7	H001	Debug01-REPREP-05042017-aegy-Maricopa_County_Arizona-USA-7_0	MaricopaCounty	AAA	North America	Americas	USA
Debug010_aegypti_Cuanda_Angola_02	H003	Debug010_aegypti_Cuanda_Angola_02_1	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_02	H003	Debug010_aegypti_Cuanda_Angola_02_0	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_05	H024	Debug010_aegypti_Cuanda_Angola_05_0	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_05	H003	Debug010_aegypti_Cuanda_Angola_05_1	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_06	H003	Debug010_aegypti_Cuanda_Angola_06_1	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_06	H030	Debug010_aegypti_Cuanda_Angola_06_0	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_08	H219	Debug010_aegypti_Cuanda_Angola_08_0	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_08	H001	Debug010_aegypti_Cuanda_Angola_08_1	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_10	H001	Debug010_aegypti_Cuanda_Angola_10_1	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_10	H001	Debug010_aegypti_Cuanda_Angola_10_0	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_11	H001	Debug010_aegypti_Cuanda_Angola_11_1	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_11	H030	Debug010_aegypti_Cuanda_Angola_11_0	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_14	H003	Debug010_aegypti_Cuanda_Angola_14_0	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_14	H003	Debug010_aegypti_Cuanda_Angola_14_1	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_19	H003	Debug010_aegypti_Cuanda_Angola_19_0	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_19	H003	Debug010_aegypti_Cuanda_Angola_19_1	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_20	H003	Debug010_aegypti_Cuanda_Angola_20_0	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_20	H003	Debug010_aegypti_Cuanda_Angola_20_1	Luanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_HoChiMin_Vietnam_01	H685	Debug010_aegypti_HoChiMin_Vietnam_01_0	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_01	H009	Debug010_aegypti_HoChiMin_Vietnam_01_1	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_02	H009	Debug010_aegypti_HoChiMin_Vietnam_02_1	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_02	H028	Debug010_aegypti_HoChiMin_Vietnam_02_0	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_03	H009	Debug010_aegypti_HoChiMin_Vietnam_03_1	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_03	H028	Debug010_aegypti_HoChiMin_Vietnam_03_0	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_04	H009	Debug010_aegypti_HoChiMin_Vietnam_04_1	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_04	H009	Debug010_aegypti_HoChiMin_Vietnam_04_0	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_05	H009	Debug010_aegypti_HoChiMin_Vietnam_05_1	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_05	H009	Debug010_aegypti_HoChiMin_Vietnam_05_0	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_06	H639	Debug010_aegypti_HoChiMin_Vietnam_06_1	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_06	H028	Debug010_aegypti_HoChiMin_Vietnam_06_0	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_07	H006	Debug010_aegypti_HoChiMin_Vietnam_07_1	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_07	H006	Debug010_aegypti_HoChiMin_Vietnam_07_0	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_08	H663	Debug010_aegypti_HoChiMin_Vietnam_08_1	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_08	H009	Debug010_aegypti_HoChiMin_Vietnam_08_0	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_09	H009	Debug010_aegypti_HoChiMin_Vietnam_09_1	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_09	H009	Debug010_aegypti_HoChiMin_Vietnam_09_0	HoChiMin	AAA	Asia	Asia	Vietnam
Debug010_aegypti_HoChiMin_Vietnam_10	H662	Debug010_aegypti_HoChiMin_Vietnam_10_1	HoChiMin	AAA	Asia	Asia	Vietnam
